url;id;first_price;first_date;price_0;date_0;discount_0;exposition_days;unit_price_0;expected_discount;etalon_discount;effective_discount;bargaining;total_discount;price;unit_price;is_free;is_mortgage;address_full;address_region;address_district;address_city;address_street;address_number;rooms;is_isolated;square_total;square_living;square_kitchen;ratio_liv_tot;ratio_kit_tot;floor;floors;is_first;is_last;is_block;is_brick;is_panel;is_cast_in_place;year;age;is_chattels;latitude;longitude;is_nice_view;is_two-sided;finishing;is_without_renovation;is_basic_renovation;is_improved_renovation;is_design_renovation;has_loggia;has_balcony;has_balcony_or_loggia;number_of_balconies;is_view_to_street;is_view_to_courtyard;is_view_to_both;is_view_undefined;bathroom;height;has_name;is_elevators
https://www.cian.ru/sale/flat/287047613;c_287047613;6190000;2023-05-11;6190000;2023-05-16;1;5;103166.67;1.006;0.964;0.964;0.835;0.805;4982578.6;83042.98;1;1;Ленинградская область, Кировский район, Кировск, Ладожская улица, 20;Ленинградская область;Кировский район;Кировск;Ладожская улица;20;3;1;60;43;6;1.062;0.148;5;6;0;0;0;0;1;0;1984;39;0;59.886343;31.001193;0;0;1;0;1;0;0;1;0;1;1;0;0;1;0;1;2.6;0;1
https://www.cian.ru/sale/flat/285517915;c_285517915;6250000;2023-03-29;6250000;2023-05-16;1;48;94984.8;0.971;0.964;0.964;0.835;0.805;5030875;76457.07;1;1;Ленинградская область, Кировский район, Кировск, Северная улица, 17;Ленинградская область;Кировский район;Кировск;Северная улица;17;3;0;65.8;43;9.5;1.062;0.235;6;9;0;0;0;0;1;0;1981;42;0;59.888049;30.99892;0;0;1;0;1;0;0;0;1;1;1;0;0;1;0;1;2.5;0;1
https://www.cian.ru/sale/flat/287197458;c_287197458;6400000;2023-05-12;6400000;2023-05-16;1;4;106666.67;1.01;0.964;0.964;0.835;0.805;5151616;85860.27;1;1;Ленинградская область, Кировский район, Кировск, Набережная улица, 1к2;Ленинградская область;Кировский район;Кировск;Набережная улица;1к2;3;0;60;42.6;6.1;1.052;0.151;3;5;0;0;0;1;0;0;1971;52;0;59.888717;30.991698;0;0;1;0;1;0;0;1;0;1;1;0;0;1;0;1;2.6;0;0
https://www.cian.ru/sale/flat/286366415;c_286366415;6400000;2023-05-13;6400000;2023-05-16;1;3;96823;1.014;0.964;0.964;0.835;0.805;5151616;77936.7;0;1;Ленинградская область, Кировский район, Кировск, бульвар Партизанской Славы, 6;Ленинградская область;Кировский район;Кировск;бульвар Партизанской Славы;6;3;1;66.1;42.4;10.1;1.047;0.249;9;9;0;1;1;0;0;0;1986;37;0;59.885598;30.993539;0;1;0;1;0;0;0;1;0;1;1;0;1;0;0;1;2.6;0;0
https://www.cian.ru/sale/flat/285300565;c_285300565;6500000;2023-04-26;6500000;2023-05-16;1;20;111876.08;0.985;0.964;0.964;0.835;0.805;5232110;90053.53;0;1;Ленинградская область, Кировский район, Кировск, Набережная улица, 11;Ленинградская область;Кировский район;Кировск;Набережная улица;11;3;1;58.1;38.1;6.5;0.941;0.16;5;5;0;1;0;1;0;0;1979;44;1;59.883647;30.986622;1;0;1;0;1;0;0;1;0;1;1;0;0;1;0;1;2.6;0;0
https://www.cian.ru/sale/flat/283773431;c_283773431;7300000;2023-05-10;7300000;2023-05-16;1;6;102240.9;1.003;0.964;0.964;0.835;0.805;5876062;82297.79;0;1;Ленинградская область, Кировский район, Кировск, улица Кирова, 15;Ленинградская область;Кировский район;Кировск;улица Кирова;15;3;0;71.4;42.3;7.6;1.044;0.188;1;2;1;0;0;1;0;0;1951;72;1;59.872968;30.991437;0;0;3;0;0;0;1;0;0;0;0;0;0;1;0;1;3.15;0;0
https://www.cian.ru/sale/flat/285631715;c_285631715;7900000;2023-04-01;7700000;2023-05-16;0.975;45;128333.33;0.972;0.964;0.964;0.835;0.805;6198038;103300.63;0;1;Ленинградская область, Кировский район, Кировск, улица Маяковского, 7;Ленинградская область;Кировский район;Кировск;улица Маяковского;7;3;1;60;39;7.3;0.963;0.18;3;5;0;0;0;1;0;0;1981;42;1;59.873677;30.997375;0;0;1;0;1;0;0;1;0;1;1;0;0;0;1;1;2.6;0;0
https://www.cian.ru/sale/flat/283205455;c_283205455;8990000;2023-02-08;8400000;2023-05-16;0.934;97;115068.49;0.961;0.964;0.934;0.835;0.78;6551076;89740.77;0;1;Ленинградская область, Кировский район, Кировск, Ладожская улица, 8;Ленинградская область;Кировский район;Кировск;Ладожская улица;8;3;1;73;43;8;1.062;0.198;1;5;1;0;0;0;1;0;1994;29;1;59.882934;30.994617;0;0;2;0;0;1;0;1;0;1;1;0;0;1;0;0.5;2.6;0;0
https://www.cian.ru/sale/flat/283448861;c_283448861;8650000;2023-05-10;8650000;2023-05-16;1;6;133076.92;1.003;0.964;0.964;0.835;0.805;6962731;107118.94;1;1;Ленинградская область, Кировский район, Кировск, Набережная улица, 19;Ленинградская область;Кировский район;Кировск;Набережная улица;19;3;1;65;45;14;1.111;0.346;2;16;0;0;0;0;0;1;2015;8;1;59.877931;30.98284;0;1;2;0;0;1;0;0;0;0;0;0;0;1;0;1;2.7;1;1
https://www.cian.ru/sale/flat/283602725;c_283602725;14490000;2023-02-12;12999000;2023-05-16;0.897;93;135406.25;0.961;0.964;0.897;0.835;0.749;9736186;101418.6;1;1;Ленинградская область, Кировский район, Кировск, Набережная улица, 17;Ленинградская область;Кировский район;Кировск;Набережная улица;17;4;1;96;59;14;1.457;0.346;4;17;0;0;0;1;0;0;2013;10;1;59.880252;30.985634;0;0;3;0;0;0;1;1;0;1;2;0;0;1;0;2;2.7;1;0
https://www.cian.ru/sale/flat/287055980;c_287055980;3180000;2023-05-12;3180000;2023-05-16;1;4;126693.23;1.01;0.964;0.964;0.835;0.805;2559709.2;101980.45;1;1;Ленинградская область, Кировский район, Кировск, Советская улица, 41;Ленинградская область;Кировский район;Кировск;Советская улица;41;0;1;25.1;13;5.9;0.321;0.146;3;9;0;0;0;0;1;0;2018;5;0;59.877452;31.005101;0;0;0;1;0;0;0;0;1;1;1;0;0;0;1;0.5;2.7;1;2
https://www.cian.ru/sale/flat/287047609;c_287047609;3700000;2023-05-11;3700000;2023-05-16;1;5;127147.77;1.006;0.964;0.964;0.835;0.805;2978278;102346.32;1;1;Ленинградская область, Кировский район, Кировск, Новая улица, 18;Ленинградская область;Кировский район;Кировск;Новая улица;18;1;1;29.1;16.5;6;0.407;0.148;3;5;0;0;0;0;1;0;1979;44;0;59.882022;30.991626;0;0;1;0;1;0;0;0;1;1;1;0;1;0;0;0.5;2.5;0;0
